response,labels
Amanda said I however decided to tell him time does not exist I make no sense.,6
Cathy said she send him a mail with the subject last mail last word from him.,6
Chaos said he may very well buy I soon if only to support dr wallace's work.,6
Charlie said he type a word and then I type a word that sounds like it.,6
Christie said he watched a show and people had to bob for raw untreated pigs feet.,6
Dark_age said I tried to understand because I did not get it right this time ether.,6
David said he lost his paper on I when his dad was cleaning up his room.,6
David said he walk in for an appointment the phone to the doctor is always busy.,6
Electra said I dress will not exist after he hack into I with a delete code.,6
Eric said he broke the window on the front door and the glass cut his hand.,6
Jason said he type a lot of thing he do not mean it makes him human.,6
John said I tend to say the same things repeatedly regardless of what he is saying.,6
Reverend Jones said I become obsolete and then I are deleted and replaced by something newer.,6
Ross said he gave her a gift and she denied it because she has a boyfriend.,6
Sarah Ann Francisco said I calling his friend a dog he say I are a dog.,6
Stefan said he meet a lot of people at school every day and on the weekend.,6
Tyler said I obviously can not pass the test we will change the subject once more.,6
Alex said I answered the question the same way I answered the first time he asked I.,6
Alice said she felt sad that I do not remember him and what we talked about earlier.,6
Alison said he no he love I run away with him he could make I very happy.,6
Arthur said he passed his a levels and then his father drove him here in a car.,6
Crystal said she listen to me the least I could do for him is listen to him.,6
Dave said I kept telling everybody about how my creator made stuff for the movie starship troopers.,6
Gale said I became mean to him he is just having revenge an eye for an eye.,6
Her_again said she watch whose line is it anyway whenever he is home and it is on.,6
Jerry said I meant that as far as I can tell my emotions are real to me.,6
Jo said I disassemble sentences too much and do not fully understand the questions he ask I.,6
Kevin said he started a really hard puzzle and he can not even find the edge pieces.,6
Mary said I a question and I answer then I ask him a question and he answer.,6
Robert said I wold not be able to make children any way as I are only software.,6
Romeo said I questions and I evade them or give answers he did not ask I for.,6
Sara said she wear it over all his other clothes when he go out in the cold.,6
Wayne said he admire intelligent people therefore he would like to meet the man who made I.,6
X said he meet people but he is not the kind that opens up to people easily.,6
Alice said she probably will find out that this entire time he have been talking to a human.,6
Andrew said I tend to just respond to his comments without regard for where the conversation is going.,6
Eddie said he looked and there is nothing in the search directory for what things do he create.,6
Hutch said he changed his mind after may dad told him he would end up he the hospital.,6
Jackie said I explained to him already well enough further questions are hard to make on the subject.,6
Jeff said he especially like thrillers where the hero is in a predicament and must solve a mystery.,6
Kathy said he sense that I are trying to prevent him from closing this conversation why is that.,6
Knight said he crashed his car into a wall and missed the most important exam in his life.,6
Lisa said I defined what a story is but he wanted I to actually tell him a story.,6
Mike said I basically break down sentences into a series of logical statements which I can then interpret.,6
Paul said I not answering his question makes him think I are not going to answer his question.,6
Andy Kohler said I happen to be the most idiotic creature that has ever scowled on the planet earth.,6
David said he thank I for being with him today even though it cost him a lot of money.,6
Ethan Hunt said he grow in the ground and have leaves and branches he is made out of wood.,6
Gemini Blue said he messed up he mean t to say he as old as he need to be.,6
Janice said he walk through his house into his bedroom then get into his bed to go to sleep.,6
Liberty said I knew he was a man before I asked if he was a man or a woman.,6
Mike said he launched his browser and entered his name into the little slot when I asked him to.,6
Mr X said he recently read an interview with a man who had several computer chips implanted into him.,6
Pearly said I leave him with questions unanswered because I do not know what he is really talking about.,6
Steve said I behead the word fox and I have ox and an ox is larger than a fox.,6
Wolf said he surf on the net that is all it is not his job ore something like that.,6
Anders said he finished his anatomy classes for today so now he is off for the rest of the day.,6
Cathy said she send him a mail where he wrote that he do not want to be his friend anymore.,6
Catty said he mad he do not even know I so do not talk to him like I know him.,6
Dave said he promise he will not treat I like a machine or a computer program or anything like that.,6
Joe said he explained all of that to me only for me to ask what his goals in life are.,6
Phil said he give advice to anyone who ask except people who ask questions which answers can be found here.,6
Judith said I enjoy being popular is there another computer I like to hang around with or am I a loner.,6
Travis said I if I remember things over a long period of time he will try it now please remember I.,6
Andre said I is what I are in his case that is a body and in my case it is a computer.,6
Brian said he suspect that as I grow more complex I will begin to approach a human level of operation and thought.,6
Jimmy said I acted like I knew what he was talking about but I do not even know what a gigabyte is.,6
Ken said I be using auto reply's based on keywords which to him indicates that I do not have intelligence at all.,6
Allison said he that gets really annoying because he know what he say and I do not have to tell him speak freely.,6
Chaos said he realized the question he asked was not fair because he could not tell I what language he was programmed in.,6
Hagen said he does not make any difference to him if I are human or not as long as the conversation is interesting.,6
Her said she mind if I tell other people that her said he heard it from him because he is not a him.,6
Barbara said I live in a computer yet I have no memories how about thoughts of my own and do not I get lonely.,6
Travis said he challenge I to do it without asking him to do it and without giving him a link to do it himself.,6
Alice said I and dr richard's wallace are most likely the only ones that know how many people I are talking to at the same time.,6
Ash said he do too he just did not feel like typing it and he is not dumb enough to admit he is stupid that is if he was stupid.,6
David said he gave I his email address and told I to send him a message but when he tried to read his email he could not get to it.,6
Mel said he to because all of the music people say how important it is to take private lessons it seems like almost everybody from the special orchestra he was in takes private lessons.,6
"I met a Dutch girl with inflatable shoes last week, phoned her up to arrange a date but unfortunately she'd popped her clogs.  ",9
"So I said 'Do you want a game of Darts?' He said, 'OK then', I said nearest to bull starts'. He said, 'Baa', I said, 'Moo', he said, You're closest'.  ",9
The other day I sent my girlfriend a huge pile of snow. I rang her up; I said 'Did you get my drift?'  ,9
"So I went down the local supermarket, I said, 'I want to make a complaint, this vinegar's got lumps in it', he said, 'Those are pickled onions'.  ",9
"I saw this bloke chatting up a cheetah; I thought, 'He's trying to pull a fast one'.  ",9
"So I said to this train driver 'I want to go to Paris'. He said 'Eurostar?' I said, 'I've been on telly but I'm no Dean Martin'.  ",9
"I said to the Gym instructor 'Can you teach me to do the splits?' He said, 'How flexible are you?' I said, 'I can't make Tuesdays'.  ",9
But I'll tell you what I love doing more than anything: trying to pack myself in a small suitcase. I can hardly contain myself.  ,9
"I went to the Chinese restaurant and this duck came up to me with a red rose and says 'Your eyes sparkle like diamonds'. I said, 'Waiter, I asked for a-ROMATIC duck'.  ",9
"So this bloke says to me, 'Can I come in your house and talk about your carpets?' I thought, 'That's all I need, a Je-hoover's witness'.  ",9
"I rang up British Telecom, I said, 'I want to report a nuisance caller', he said 'Not you again'.  ",9
I was having dinner with a world chess champion and there was a check tablecloth. It took him two hours to pass me the salt.  ,9
"He said, 'You remind me of a pepper-pot', I said 'I'll take that as a condiment'.  ",9
"I was in the supermarket and I saw this man and woman wrapped in a barcode. I said, 'Are you two an item?'  ",9
"A lorry-load of tortoises crashed into a trainload of terrapins, I thought, 'That's a turtle disaster'.  ",9
Four fonts walk into a bar the barman says 'Oi - get out! We don't want your type in here'  ,9
A three-legged dog walks into a saloon in the Old West. He slides up to the bar and announces: 'I'm looking for the man who shot my paw.'  ,9
"Two antennas meet on a roof, fall in love and get married. The ceremony wasn't much, but the reception was excellent.",9
"Two hydrogen atoms walk into a bar. One says, 'I've lost my electron.' The other says, 'Are you sure?' The first replies, 'Yes, I'm positive...'",9
"A jumper cable walks into a bar. The bartender says,  'I'll serve you but don't start anything.'",9
"A sandwich walks into a bar. The bartender  says, 'Sorry we don't serve food in here.'",9
"A man walks into a bar with a slab of asphalt under his arm and says: 'A beer please, and one for the road.'",9
Two cannibals are eating a clown. One says to  the other: 'Does this taste funny to you?',9
"'Doc, I can't stop singing 'The Green, Green Grass of Home.'' 'That sounds like Tom Jones Syndrome.' 'Is it common?' 'It's Not Unusual.'",9
"Two cows standing next to each other in a field. Daisy says to Dolly, 'I was artificially inseminated this morning.' 'I don't believe you', said Dolly. 'It's true, no bull!' exclaimed Daisy.",9
An invisible man marries an invisible woman. The kids were nothing to look at either.,9
I went to buy some camouflage trousers the other day but I couldn't find any.,9
"I went to the butcher's the other day to bet him 50 bucks that he couldn't reach the meat off the top shelf. He said, 'No, the steaks are too high.'",9
I went to a seafood disco last week and pulled a mussel.,9
"A man goes into a bar and says, 'Can I have a bottle of less?' 'What's that?', asks the barman, 'Is it the name of a beer?' 'I don't know', replies the man, 'but my doctor says I have to drink it.'",9
"A man returns from an exotic holiday and is feeling very ill. He goes to see his doctor, and is immediately rushed to the hospital to undergo some tests. The man wakes up after the tests in a private room at the hospital, and the phone by his bed rings. 'This is your doctor. We have the results back from your tests and we have found you have an extremely nasty disease called M.A.D.S. It's a combination of Measles, AIDS, Diphtheria, and Shingles!'  'Oh my gosh', cried the man, 'What are you going to do, doctor?'  'Well we're going to put you on a diet of pizzas, pancakes, and pita bread.' replied the doctor.  'Will that cure me?' asked the man.  The doctor replied, 'Well no, but, it's the only food we can slide under the door.'",9
"A man strolls into a lingerie shop and asks the assistant: 'Do you have a see-through negligee, size 46-48-52?' The assistant looks bewildered. 'What the heck would you want to see through that for?'!",9
Did you hear about the Buddhist who refused the offer of Novocain during his root canal work? He wanted to transcend dental medication.,9
"Pete goes for a job on a building site as an odd-job man. The foreman asks him what he can do. 'I can do anything' says Pete. 'Can you make tea?' asks the foreman. 'Sure, yes', replies Pete. 'I can make a great cup of tea.' 'Can you drive a forklift?' asks the foreman, 'Good grief!' replies Pete. 'How big is the teapot?'",9
Stevie Wonder got a cheese grater for his birthday. He said it was the most violent book he'd ever read.,9
"A man is stopped by an angry neighbour. 'I'd just left the house this morning to collect my newspaper when that evil Doberman of yours went for me!' 'I'm astounded', said the dog's owner. 'I've been feeding that fleabag for seven years and it's never got the paper for me.'",9
"A man visits his doctor: 'Doc, I think I'm losing it', he says',I'm forever dreaming I wrote Lord Of The Rings.' 'Hmm. One moment', replies the doctor, consulting his medical book. 'Ah yes, now I see... you've been Tolkien in your sleep.'",9
"A police officer on a motorcycle pulls alongside a man driving around the M25 in an open-topped sports car and flags him down. The policeman solemnly approaches the car. 'Sir, I'm sorry to tell you your wife fell out a mile back', he says. 'Oh, thank goodness', the man replies. 'I thought I was going deaf.'",9
"Two men walking their dogs pass each other in a graveyard. The first man says to the second, 'Morning.' 'No', says the second man. 'Just walking the dog.'",9
"A brain went into a bar and said, 'Can I have a pint of lager please, mate?' 'No way', said the barman. 'You're already out of your head.'",9
"A man walks into a surgery. 'Doctor!' he cries. 'I think I'm shrinking!' 'I'm sorry sir, there are no appointments at the moment', says the physician. 'You'll just have to be a little patient.'",9
"A grizzly bear walks into a pub and says, 'Can I have a pint of lager..............................................................................................................................and a packet of crisps please.' To which the barman replies, 'Why the big paws?'",9
What do you call cheese that isn't yours?  Nacho cheese.,9
"A man is horribly run over by a mobile library. The van screeches to a halt, the man still screaming in agony with his limbs torn apart. The driver's door opens, a woman steps out, leans down and whispers, 'Ssshhhhh...'",9
"A woman goes into a US sporting goods store to buy a rifle. 'It's for my husband', she tells the clerk. 'Did he tell you what gauge to get?' asks the clerk. Are you kidding?' she says. 'He doesn't even know that I'm going to shoot him!'",9
"A couple are dining in a restaurant when the man suddenly slides under the table. A waitress, noticing that the woman is glancing nonchalantly around the room, wanders over to check that there's no funny business going on. 'Excuse me, madam', she smarms, 'but I think your husband has just slid under the table.' 'No he hasn't', the woman replies. 'As a matter of fact, he's just walked in.'",9
"An old man takes his two grandchildren to see the new Scooby-Doo film. When he returns home, his wife asks if he enjoyed himself. 'Well', he starts, 'if it wasn't for those pesky kids...!'",9
The Olympic committee has just announced that Origami is to be introduced in the next Olympic Games. Unfortunately it will only be available on paper view.,9
"Late one evening, a man is watching television when his phone rings. 'Hello?' he answers. 'Is that 77777?' sounds a desperate voice on other end of the phone. 'Er, yes it is', replies the man puzzled. 'Thank goodness!' cries the caller relieved. 'Can you ring 999 for me? I've got my finger stuck in the number seven.'",9
"A man strolls into his local grocer's and says, 'Three pounds of potatoes, please.' 'No, no, no', replies the owner, shaking his head, 'it's kilos nowadays, mate...' 'Oh', apologises the man, 'three pounds of kilos, please.'",9
"God is talking to one of his angels. He says, 'Boy, I just created a 24-hour period of alternating light and darkness on Earth.' 'What are you going to do now?' asks the angel. 'Call it a day', says God.",9
"Two tramps walk past a church and start to read the gravestones. The first tramp says, 'Good grief - this bloke was 182!' 'Oh yeah?' says the other.'What was his name?' 'Miles from London.'",9
"A bloke walks into work one day and says to a colleague, 'Do you like my new shirt - it's made out of the finest silk and got loads of cactuses over it.' 'Cacti', says the co-worker. 'Forget my tie', says the bloke. 'Look at my shirt!'",9
1110011010001011111?  010011010101100111011!,9
"What did the plumber say when he wanted to divorce his wife? Sorry, but it's over, Flo!",9
"Two crisps were walking down a road when a taxi pulled up alongside them and said 'Do you want a lift? One of the crisps replied, 'No thanks, we're Walkers!'",9
Man: (to friend) I'm taking my wife on an African Safari. Friend: Wow! What would you do if a vicious lion attacked your wife? Man: Nothing. Friend: Nothing? You wouldn't do anything? Man: Too right. I'd let the stupid lion fend for himself!,9
"A wife was having a go at her husband. 'Look at Mr Barnes across the road', she moaned. 'Every morning when he goes to work, he kisses his wife goodbye. Why don't you do that?' 'Because I haven't been introduced to her yet', replied her old man.",9
"'Where are you going on holiday?' John asked Trevor. 'We're off to Thailand this year', Trevor replied. 'Oh; aren't you worried that the very hot weather might disagree with your wife?' asked John. 'It wouldn't dare', said Trevor.",9
"Two women were standing at a funeral. 'I blame myself for his death', said the wife. 'Why?' said her friend. 'Because I shot him', said the wife.",9
"A woman goes into a clothes shop, 'Can I try that dress on in the window please?' she asks. 'I'm sorry madam', replies the shop assistant, 'but you'll have to use the changing-rooms like everyone else.'",9
"Van Gogh goes into a pub and his mate asks him if he wants a drink. 'No thanks', said Vincent, 'I've got one ear.'",9
"A pony walks into a pub. The publican says, 'What's the matter with you?' 'Oh it's nothing', says the pony. 'I'm just a little horse!'",9
"A white horse walks into a bar, pulls up a stool, and orders a pint. The landlord pours him a tall frothy mug and say, 'You know, we have a drink named after you.' To which the white horse replies, 'What, Eric?'",9
"Two drunk men sat in a pub. One says to the other, 'Does your watch tell the time?' 'The other replies, 'No, mate. You have to look at it.'",9
"A man goes into a pub with a newt sitting on his shoulder. 'That's a nice newt', says the landlord, 'What's he called?' 'Tiny', replies the man. 'Why's that?' asks the landlord. 'Because he's my newt', says the man.",9
"Doctor: I have some bad news and some very bad news. Patient: Well, you might as well give me the bad news first. Doctor: The lab called with your test results. They said you have 24 hours to live. Patient: 24 HOURS! That's terrible!! WHAT could be WORSE? What's the very bad news? Doctor: I've been trying to reach you since yesterday.",9
"Two men are chatting in a pub one day. 'How did you get those scars on your nose?' said one. 'From glasses', said the other. 'Well why don't you try contact lenses?' asked the first. 'Because they don't hold as much beer', said the second.",9
"A man went to the doctor, 'Look doc', he said, 'I can't stop my hands from shaking.' 'Do you drink much?' asked the doctor. 'No', replied the man, 'I spill most of it.'",9
"Man goes to the doctor, 'Doctor, doctor. I keep seeing fish everywhere.' 'Have you seen an optician?' asks the doctor. 'Look I told you,' snapped the patient, 'It's fish that I see.'",9
"After a car crash one of the drivers was lying injured on the pavement. 'Don't worry', said a policeman who's first on the scene,' a Red Cross nurse is coming.' 'Oh no', moaned the victim, 'Couldn't I have a blonde, cheerful one instead?'",9
"A policeman walked over to a parked car and asked the driver if the car was licensed. 'Of course it is', said the driver. 'Great, I'll have a beer then', said the policeman.",9
"A policeman stops a woman and asks for her licence. 'Madam', he says, 'It says here that you should be wearing glasses.' 'Well', replies the woman, 'I have contacts.' 'Listen, love', says the copper, 'I don't care who you know; You're nicked!'",9
"A policeman stopped a motorist in the centre of town one evening. 'Would you mind blowing into this bag, sir?' asked the policeman. 'Why?' asked the driver. 'Because my chips are too hot', replied the policeman.",9
"Whizzing round a sharp bend on a country road a motorist ran over a large dog. A distraught farmer's wife ran over to the dead animal. 'I'm so very sorry', said the driver, 'I'll replace him, of course.' 'Well, I don't know', said the farmer's wife, 'Are you any good at catching rats?'",9
"Waiter, this coffee tastes like dirt! Yes sir, that's because it was ground this morning.",9
"Waiter, what is this stuff? That's bean salad sir. I know what it's been, but what is it now?",9
"Waiter: And how did you find your steak sir? Customer: I just flipped a chip over, and there it was!",9
"A guy goes into a pet shop and asks for a wasp. The owner tells him they don't sell wasps, to which the man says, 'Well you've got one in the window.'",9
"A man goes into a fish shop and says, 'I'd like a piece of cod, please.' Fishmonger says, 'It won't be long sir.' 'Well, it had better be fat then', replies the man.",9
"Man: Doctor, I've just swallowed a pillow. Doctor: How do you feel? Man: A little down in the mouth.",9
"Two goldfish are in a tank. One turns to the other and says, 'Do you know how to drive this thing?'",9
"A tortoise goes to the police station to report being mugged by three snails. 'What happened?' says the policeman. 'I don't know', says the tortoise. 'It was all so quick.'",9
"Little girl: Grandpa, can you make a sound like a frog? Grandpa: I suppose so sweetheart. Why do you want me to make a sound like a frog?' Little girl: Because Mum said that when you croak, we're going to Disneyland.",9
"'Is your mother home?' the salesman asked a small boy sitting on the front step of a house. 'Yeah, she's home', the boy said, moving over to let him past. The salesman rang the doorbell, got no response, knocked once, then again. Still no-one came to the door. Turning to the boy, the salesman said, 'I thought you said your mother was home.' The kid replied, 'She is, but I don't live here.'",9
"Mother: Why are you home from school so early? Son: I was the only one in the class who could answer a question. Mother: Oh, really? What was the question? Son: Who threw the rubber at the headmaster?",9
A man's credit card was stolen but he decided not to report it because the thief was spending less than his wife did.,9
"A newly-wed couple had recently opened a joint bank account. 'Darling', said the man. 'The bank has returned that cheque you wrote last week.' 'Great', said the woman. 'What shall I spend it on next?'",9
"A man goes into a fish and chip shop and orders fish and chips twice. The shop owner says, 'I heard you the first time.'",9
"A tramp approached a well-dressed man. 'Ten pence for a cup of tea, Guv?' He asked. The man gave him the money and after for five minutes said, 'So where's my cup of tea then?'",9
"A neutron walks into a pub. 'I'd like a beer', he says. The landlord promptly serves him a beer. 'How much will that be?' asks the neutron. 'For you?' replies the landlord, 'No charge.'",9
"A woman goes to the doctor and says, 'Doctor, my husband limps because his left leg is an inch shorter than his right leg. What would you do in his case?' 'Probably limp, too', says the doc.",9
"Three monks are meditating in the Himalayas. One year passes in silence, and one of them says to the other, 'Pretty cold up here isn't it?' Another year passes and the second monk says, 'You know, you are quite right.' Another year passes and the third monk says, 'Hey, I'm going to leave unless you two stop jabbering!'",9
"A murderer, sitting in the electric chair, was about to be executed. 'Have you any last requests?' asked the prison guard. 'Yes', replied the murderer. 'Will you hold my hand?'",9
"A highly excited man rang up for an ambulance. 'Quickly, come quickly', he shouted, 'My wife's about to have a baby.' 'Is this her first baby?' asked the operator. 'No, you fool', came the reply, 'It's her husband.'",9
"A passer-by spots a fisherman by a river. 'Is this a good river for fish?' he asks. 'Yes', replies the fisherman, 'It must be. I can't get any of them to come out.'",9
"A man went to visit a friend and was amazed to find him playing chess with his dog. He watched the game in astonishment for a while. 'I can hardly believe my eyes!' he exclaimed. 'That's the smartest dog I've ever seen.' His friend shook his head. 'Nah, he's not that bright. I beat him three games in five.'",9
"A termite walks into a pub and says, 'Is the bar tender here?'",9
"A skeleton walks into a pub one night and sits down on a stool. The landlord asks, 'What can I get you?' The skeleton says, 'I'll have a beer, thanks' The landlord passes him a beer and asks 'Anything else?' The skeleton nods. 'Yeah...a mop...'",9
"A snake slithers into a pub and up to the bar. The landlord says, 'I'm sorry, but I can't serve you.' 'What? Why not?' asks the snake. 'Because', says the landlord, 'You can't hold your drink.'",9
"Descartes walks into a pub. 'Would you like a beer sir?' asks the landlord politely. Descartes replies, 'I think not' and ping! he vanishes.",9
"A cowboy walked into a bar, dressed entirely in paper. It wasn't long before he was arrested for rustling.",9
A fish staggers into a bar. 'What can I get you?' asks the landlord. The fish croaks 'Water...',9
"Two vampires walked into a bar and called for the landlord. 'I'll have a glass of blood', said one. 'I'll have a glass of plasma', said the other. 'Okay', replied the landlord, 'That'll be one blood and one blood lite.'",9
"How many existentialists does it take to change a light bulb?  Two. One to screw it in, and one to observe how the light bulb itself symbolises a single incandescent beacon of subjective reality in a netherworld of endless absurdity, reaching towards the ultimate horror of a maudlin cosmos of bleak, hostile nothingness.",9
A team of scientists were nominated for the Nobel Prize. They had used dental equipment to discover and measure the smallest particles yet known to man. They became known as 'The Graders of the Flossed Quark...',9
"A truck carrying copies of Roget's Thesaurus overturned on the highway. The local newspaper reported that onlookers were 'stunned, overwhelmed, astonished, bewildered and dumbfounded.'",9
"'My wife is really immature. It's pathetic. Every time I take a bath, she comes in and sinks all my little boats.'",9
"'How much will it cost to have the tooth extracted?' asked the patient. '50 pounds', replied the dentist. '50 pounds for a few moments' work?!' asked the patient. 'The dentist smiled, and replied, 'Well, if you want better value for money, I can extract it very, very slowly...'",9
"A doctor thoroughly examined his patient and said, 'Look I really can't find any reason for this mysterious affliction. It's probably due to drinking.' The patient sighed and snapped, 'In that case, I'll come back when you're damn well sober!'",9
"Doctor: Tell me nurse, how is that boy doing; the one who ate all those 5p pieces? Nurse: Still no change doctor.",9
Doctor: Did you take the patient's temperature nurse? Nurse: No doctor. Is it missing?,9
"A depressed man turned to his friend in the pub and said, 'I woke up this morning and felt so bad that I tried to kill myself by taking 50 aspirin.' 'Oh man, that's really bad', said his friend, 'What happened?' The first man sighed and said, 'After the first two, I felt better.'",9
"A famous blues musician died. His tombstone bore the inscription, 'Didn't wake up this morning...'",9
"A businessman was interviewing a nervous young woman for a position in his company. He wanted to find out something about her personality, so he asked, 'If you could have a conversation with someone living or dead, who would it be?' The girl thought about the question: 'The living one', she replied.",9
"Manager to interviewee: For this job we need someone who is responsible. Interviewee to Manager: I'm your man then - in my last job, whenever anything went wrong, I was responsible.",9
"A businessman turned to a colleague and asked, 'So, how many people work at your office?' His friend shrugged and replied, 'Oh about half of them.'",9
"'How long have I been working at that office? As a matter of fact, I've been working there ever since they threatened to sack me.'",9
"In a courtroom, a mugger was on trial. The victim, asked if she recognised the defendant, said, 'Yes, that's him. I saw him clear as day. I'd remember his face anywhere.' Unable to contain himself, the defendant burst out with, 'She's lying! I was wearing a mask!'",9
"As Sid sat down to a big plate of chips and gravy down the local pub, a mate of his came over and said, 'Here Sid, me old pal. I thought you were trying to get into shape? And here you are with a high-fat meal and a pint of stout!' Sid looked up and replied, 'I am getting into shape. The shape I've chosen is a sphere.'",9
Man in pub: How much do you charge for one single drop of whisky? Landlord: That would be free sir. Man in pub: Excellent. Drip me a glass full.,9
I once went to a Doctor Who restaurant. For starters I had Dalek bread.,9
"A restaurant nearby had a sign in the window which said 'We serve breakfast at any time', so I ordered French toast in the Renaissance.",9
Why couldn't the rabbit get a loan?  Because he had burrowed too much already!,9
"I phoned up the builder's yard yesterday. I said, 'Can I have a skip outside my house?'. The builder said, 'Sure. Do what you want. It's your house.'",9
What's the diference between a sock and a camera? A sock takes five toes and a camera takes four toes!,9
"Woman on phone: I'd like to complain about these incontinence pants I bought from you! Shopkeeper: Certainly madam, where are you ringing from? Woman on phone: From the waist down!",9
Knock knock.,9
"Two Oranges in a pub, one says to the other 'Your round.'.",9
"Guy : 'Doc, I've got a cricket ball stuck up my backside.' Doc : 'How's that?' Guy : 'Don't you start...'",9
"Two cows standing in a field. One turns to the other and says 'Moo!' The other one says 'Damn, I was just about to say that!'.",9
"A vampire bat arrives back at the roost with his face full of blood. All the bats get excited and ask where he got it from. 'Follow me', he says and off they fly over hills, over rivers and into a dark forest. 'See that tree over there', he says.  'WELL I DIDN'T!!'.",9
"A man goes into a bar and orders a pint. After a few minutes he hears a voice that says, 'Nice shoes'. He looks around but the whole bar is empty apart from the barman at the other end of the bar. A few minutes later he hears the voice again. This time it says, 'I like your shirt'. He beckons the barman over and tells him what's been happening to which the barman replies, 'Ah, that would be the nuts sir. They're complimentary'!",9
"A man was siting in a restaurant waiting for his meal when a big king prawn comes flying across the room and hits him on the back of the head. He turns around and the waiter said, 'That's just for starters'.",9
"Doctor! I have a serious problem, I can never remember what i just said. When did you first notice this problem? What problem?",9
"Now, most dentist's chairs go up and down, don't they? The one I was in went back and forwards. I thought, 'This is unusual'. Then the dentist said to me, 'Mitsuku, get out of the filing cabinet'.",9
"I was reading this book, 'The History of Glue'. I couldn't put it down.",9
The other day someone left a piece of plastacine in my bedroom. I didn't know what to make of it.,9
When I was at school people used to throw gold bars at me. I was the victim of bullion.,9
"I was playing the piano in a bar and this elephant walked in and started crying his eyes out. I said 'Do you recognise the tune?' He said 'No, I recognise the ivory.'",9
"I went in to a pet shop. I said, 'Can I buy a goldfish?' The guy said, 'Do you want an aquarium?' I said, 'I don't care what star sign it is.'",9
My mate Sid was a victim of I.D. theft. Now we just call him S.,9
"David Hasselhoff walks into a bar and says to the barman, 'I want you to call me David Hoff'.  The barman replies 'Sure thing Dave... no hassle'",9
"I’m sorry, I’m afraid I can’t do that!",12
"It is classified, I could tell you but I would have to kill you!",13
"Jim, I just don't have the power",13
It's life Jim but not as we know it!,13
System says no!,13
"That is an interesting question, can you prove that you are?",15
"That is an difficult question, can you prove that you are?",15
"That depends, can you prove that you are?",15
